ds,y,vix,dxy,yield_10y
2025-04-30,2410.1,16.52,101.13,4.049
2025-05-01,2409.41,14.91,101.22,4.04
2025-05-02,2411.38,13.9,101.33,4.033
2025-05-03,2412.02,14.89,100.91,4.026
2025-05-04,2413.9,14.43,101.08,4.02
2025-05-05,2419.82,15.68,101.39,4.014
2025-05-06,2429.03,15.22,100.93,4.01
2025-05-07,2432.54,14.94,100.9,4.006
2025-05-08,2448.8,15.83,101.09,4.003
2025-05-09,2459.93,19.32,101.21,4.001
2025-05-10,2467.61,20.46,101.02,4.0
2025-05-11,2472.85,19.93,101.27,4.0
2025-05-12,2475.55,20.62,101.17,4.001
2025-05-13,2484.44,22.72,101.15,4.002
2025-05-14,2472.33,21.03,101.08,4.005
2025-05-15,2466.34,21.27,101.42,4.008
2025-05-16,2460.4,22.28,100.9,4.012
2025-05-17,2452.39,20.95,100.52,4.017
2025-05-18,2443.51,20.52,101.23,4.023
2025-05-19,2440.09,19.46,100.81,4.03
2025-05-20,2439.81,18.81,100.9,4.037
2025-05-21,2440.45,18.58,101.13,4.045
2025-05-22,2441.23,16.48,100.53,4.054
2025-05-23,2442.26,15.99,100.59,4.064
2025-05-24,2453.56,13.09,100.51,4.074
2025-05-25,2461.5,14.19,100.65,4.084
2025-05-26,2465.12,13.33,100.89,4.095
2025-05-27,2470.82,13.11,100.89,4.107
2025-05-28,2482.85,13.75,100.83,4.119
2025-05-29,2487.71,14.81,100.47,4.131
2025-05-30,2485.61,16.65,100.28,4.144
2025-05-31,2489.96,15.86,100.74,4.157
2025-06-01,2491.9,18.02,100.62,4.17
2025-06-02,2484.85,18.69,100.79,4.183
2025-06-03,2487.02,19.82,100.83,4.197
2025-06-04,2479.6,21.73,100.7,4.21
2025-06-05,2489.22,21.98,100.81,4.223
2025-06-06,2490.15,22.99,100.69,4.236
2025-06-07,2485.45,21.87,100.74,4.25
2025-06-08,2492.33,21.21,100.48,4.262
2025-06-09,2487.18,21.09,100.57,4.275
2025-06-10,2499.27,20.72,100.63,4.287
2025-06-11,2509.72,19.73,100.74,4.299
2025-06-12,2513.16,17.68,100.48,4.31
2025-06-13,2526.28,17.53,100.65,4.321
2025-06-14,2535.54,16.59,100.48,4.331
2025-06-15,2525.63,17.49,100.5,4.341
2025-06-16,2525.12,16.23,100.67,4.35
2025-06-17,2525.53,13.55,100.09,4.359
2025-06-18,2526.04,13.78,100.22,4.366
2025-06-19,2507.95,12.91,100.17,4.373
2025-06-20,2508.57,13.98,99.98,4.38
2025-06-21,2509.4,15.33,100.3,4.385
2025-06-22,2491.83,16.89,100.57,4.39
2025-06-23,2491.21,16.34,100.35,4.394
2025-06-24,2495.93,17.48,100.43,4.397
2025-06-25,2498.42,17.36,100.6,4.399
2025-06-26,2511.62,19.95,100.63,4.4
2025-06-27,2517.92,20.07,100.34,4.4
2025-06-28,2519.22,21.13,100.61,4.399
2025-06-29,2538.42,21.21,100.34,4.398
2025-06-30,2543.82,21.92,100.14,4.395
2025-07-01,2557.28,20.36,100.18,4.392
2025-07-02,2555.19,20.09,99.99,4.388
2025-07-03,2559.63,22.23,100.09,4.383
2025-07-04,2561.87,18.56,100.18,4.377
2025-07-05,2560.22,17.67,100.4,4.371
2025-07-06,2556.82,18.92,100.57,4.364
2025-07-07,2546.02,18.73,99.94,4.356
2025-07-08,2547.58,14.54,100.28,4.347
2025-07-09,2539.54,14.44,99.98,4.338
2025-07-10,2543.36,14.5,100.27,4.328
2025-07-11,2538.99,15.39,100.13,4.317
2025-07-12,2548.86,13.29,99.78,4.306
2025-07-13,2548.62,14.25,100.31,4.294
2025-07-14,2555.0,15.7,99.99,4.282
2025-07-15,2570.47,16.27,99.99,4.27
2025-07-16,2575.92,16.62,99.87,4.257
2025-07-17,2579.11,17.89,99.94,4.245
2025-07-18,2591.0,17.98,100.14,4.231
2025-07-19,2587.03,19.89,100.01,4.218
2025-07-20,2588.78,20.71,100.1,4.205
2025-07-21,2587.73,21.74,100.09,4.192
2025-07-22,2578.99,21.47,100.27,4.178
2025-07-23,2579.17,22.37,99.92,4.165
2025-07-24,2570.03,22.58,99.68,4.152
2025-07-25,2563.52,21.39,100.17,4.139
2025-07-26,2567.39,20.81,99.88,4.127
2025-07-27,2555.19,19.64,100.16,4.114
2025-07-28,2550.8,18.54,100.0,4.103
2025-07-29,2570.21,16.88,99.88,4.091
2025-07-30,2580.5,16.66,99.96,4.08
2025-07-31,2575.82,15.4,100.27,4.07
2025-08-01,2580.36,16.41,100.28,4.06
2025-08-02,2597.04,15.49,99.86,4.051
2025-08-03,2605.41,14.32,99.87,4.042
2025-08-04,2612.35,13.47,100.04,4.034
2025-08-05,2614.9,13.56,99.64,4.027
2025-08-06,2625.95,16.03,99.86,4.021
2025-08-07,2626.21,16.13,99.77,4.015
2025-08-08,2616.97,17.3,99.83,4.011
2025-08-09,2622.12,16.6,99.58,4.007
2025-08-10,2626.08,19.82,99.42,4.004
2025-08-11,2615.0,20.44,99.31,4.002
2025-08-12,2608.89,20.03,99.49,4.0
2025-08-13,2608.54,21.17,99.6,4.0
2025-08-14,2612.51,22.13,99.62,4.001
2025-08-15,2604.48,22.03,100.06,4.002
2025-08-16,2616.33,21.54,99.87,4.004
2025-08-17,2620.46,21.19,99.45,4.007
2025-08-18,2634.71,20.32,99.7,4.011
2025-08-19,2632.95,19.72,99.53,4.016
2025-08-20,2645.93,19.72,99.54,4.022
2025-08-21,2635.32,15.4,99.62,4.028
2025-08-22,2644.69,16.22,99.69,4.035
2025-08-23,2643.49,15.62,99.49,4.043
2025-08-24,2635.54,14.97,99.75,4.052
2025-08-25,2636.11,13.93,99.3,4.061
2025-08-26,2634.08,12.6,99.52,4.071
2025-08-27,2623.54,14.35,100.02,4.082
